row_name,uniq_idx,uniq_idx_sum,entro,vec_sum,sim_sum,sim_min,sim_max,is_sampled,uniq_rank,id,lon,lat
TQ4577b,0.72817,36408.39403,10.28786,1.565,13591.60597,0,1,True,873732,TQ4577b,545750,177250
TQ4577c,0.72589,36294.48444,10.29799,1.5833,13705.51556,0,1,True,886857,TQ4577c,545750,177750
TQ4577d,0.72571,36285.35691,10.2988,1.58479,13714.64309,0,1,True,887875,TQ4577d,545250,177750
TQ4578a,0.72537,36268.49484,10.30029,1.58757,13731.50516,0,1,True,889823.5,TQ4578a,545250,178250
TQ4578b,0.724,36200.00974,10.30632,1.59902,13799.99026,0,1,True,897518.5,TQ4578b,545750,178250
TQ4578c,0.72308,36154.14133,10.31034,1.60686,13845.85867,0,1,True,902665.5,TQ4578c,545750,178750
TQ4578d,0.72508,36254.13971,10.30156,1.58995,13745.86029,0,1,True,891387.5,TQ4578d,545250,178750
TQ4579a,0.72459,36229.52115,10.30373,1.59405,13770.47885,0,1,True,894165,TQ4579a,545250,179250
TQ4579b,0.72264,36132.19616,10.31226,1.61065,13867.80384,0,1,True,905153.5,TQ4579b,545750,179250
TQ4579c,0.72213,36106.37129,10.31451,1.61515,13893.62871,0,1,True,908003.5,TQ4579c,545750,179750
TQ4579d,0.72396,36198.15991,10.30648,1.59934,13801.84009,0,1,True,897744.5,TQ4579d,545250,179750
TQ4580a,0.72317,36158.63847,10.30995,1.60608,13841.36153,0,1,True,902169.5,TQ4580a,545250,180250
TQ4580b,0.72148,36074.01526,10.31733,1.62086,13925.98474,0,1,True,911748,TQ4580b,545750,180250
TQ4580c,0.72072,36036.06624,10.32063,1.62765,13963.93376,0,1,True,916227,TQ4580c,545750,180750
TQ4580d,0.72226,36113.21805,10.31391,1.61396,13886.78195,0,1,True,907232,TQ4580d,545250,180750
TQ4581a,0.72128,36063.79462,10.31822,1.62268,13936.20538,0,1,True,912848.5,TQ4581a,545250,181250
TQ4581b,0.71989,35994.29592,10.32425,1.63524,14005.70408,0,1,True,924182,TQ4581b,545750,181250
TQ4581c,0.71899,35949.67246,10.32811,1.64349,14050.32754,0,1,True,929167.5,TQ4581c,545750,181750
TQ4581d,0.72024,36012.03149,10.32271,1.632,13987.96851,0,1,True,922172.5,TQ4581d,545250,181750
TQ4582a,0.71918,35959.17271,10.32729,1.64172,14040.82729,0,1,True,928092.5,TQ4582a,545250,182250
TQ4582b,0.71807,35903.64568,10.33208,1.65216,14096.35432,0,1,True,934210.5,TQ4582b,545750,182250
TQ4582c,0.71715,35857.28881,10.33607,1.66106,14142.71119,0,1,True,938922.5,TQ4582c,545750,182750
TQ4582d,0.71813,35906.52703,10.33183,1.65161,14093.47297,0,1,True,933928.5,TQ4582d,545250,182750
TQ4583a,0.71713,35856.47567,10.33614,1.66122,14143.52433,0,1,True,939034,TQ4583a,545250,183250
TQ4583b,0.71694,35847.1849,10.33693,1.66303,14152.8151,0,1,True,940056,TQ4583b,545750,183250
TQ4583c,0.71803,35901.63494,10.33225,1.65254,14098.36506,0,1,True,934384,TQ4583c,545750,183750
TQ4583d,0.71725,35862.73141,10.3356,1.66001,14137.26859,0,1,True,938447,TQ4583d,545250,183750
TQ4584a,0.71835,35917.57238,10.33088,1.64952,14082.42762,0,1,True,932751.5,TQ4584a,545250,184250
TQ4584b,0.71384,35691.82895,10.35678,1.67629,14308.17105,0,0.99991,True,956072,TQ4584b,545750,184250
TQ4584c,0.72056,36027.80865,10.32134,1.62914,13972.19135,0,1,True,917143.5,TQ4584c,545750,184750
TQ4584d,0.71117,35558.27964,10.36948,1.69373,14441.72036,0,0.99957,True,969393.5,TQ4584d,545250,184750
TQ4585a,0.66359,33179.37929,10.52914,2.42925,16820.62071,0,0.99943,True,1107667.5,TQ4585a,545250,185250
TQ4585b,0.78248,39124.16842,10.57758,6.34571,10875.83158,0,0.71035,True,562887.5,TQ4585b,545750,185250
TQ4585c,0.66826,33413.0606,10.51296,2.21145,16586.9394,0,0.99977,True,1100292,TQ4585c,545750,185750
TQ4585d,0.76863,38431.3921,10.54601,4.10781,11568.6079,0,0.78988,True,637365.5,TQ4585d,545250,185750
TQ4586a,0.80162,40080.98429,10.45296,2.18117,9919.01571,0,0.64117,True,456236.5,TQ4586a,545250,186250
TQ4586b,0.85165,42582.72484,10.53958,2.65638,7417.27516,0,0.8475,True,188993,TQ4586b,545750,186250
TQ4586c,0.88123,44061.73318,10.61133,4.97382,5938.26682,0,0.63545,True,104784.5,TQ4586c,545750,186750
TQ4586d,0.70264,35131.89541,10.56557,3.44352,14868.10459,0,0.99107,True,1010085.5,TQ4586d,545250,186750
